TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5310765, 936.200341  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5310765, 939.762807  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5310765, 931.040440  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5310765, 932.810510  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5310765, 935.727620  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5310765, 935.840046  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5310765, 939.683976  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5310765, 920.401432  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5332233, 919.605046  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5332233, 926.910518  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 6753529, 1436.972350  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 6753529, 1438.769056  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 7107888, 1645.665634  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 7107888, 1663.750177  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 7462247, 1647.612983  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 7462247, 1685.467886  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5310765, 937.765128  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5310765, 924.435510  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5310765, 940.462232  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5310765, 934.289551  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5310765, 909.399377  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5310765, 922.916564  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5310765, 924.664427  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5310765, 926.230437  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5554069, 881.530445  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5554069, 878.495986  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 7030576, 1032.358856  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 7420340, 1038.013288  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 7385006, 1427.687483  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 7679073, 1405.412618  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 7739436, 1623.508402  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 8064561, 1615.847121  
