TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18568513, 348.468937  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 600, 18568513, 349.329437  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18568513, 343.363145  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 600, 18568513, 334.107337  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18568513, 333.742208  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 600, 18568513, 330.352802  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18568513, 340.115043  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 600, 18568513, 346.179183  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18589981, 343.103220  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 600, 18589981, 344.414385  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 24127757, 525.627593  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 600, 24127757, 518.704544  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 25511236, 571.728109  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 600, 25511236, 571.547468  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 26894715, 704.594016  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 600, 26894715, 688.754268  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18575669, 339.813646  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 600, 18575669, 334.422466  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 24111703, 504.383822  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 600, 24111703, 502.578829  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 24111703, 492.261298  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 600, 24111703, 497.957142  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 24111703, 496.545153  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 600, 24111703, 507.032217  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 18811817, 340.443191  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 600, 18811817, 344.388599  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 24463652, 482.676958  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 600, 24463652, 469.696582  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 25847202, 548.955777  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 600, 27334806, 565.448047  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 27230752, 570.195193  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 600, 29950205, 603.855649  
