TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 1500, 5338765, 1114.823462  
 xuemei_640x360.yuv, 0, 1, 640, 360, 1, 600, 5338765, 995.847804  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 1500, 5338765, 1083.129364  
 xuemei_640x360.yuv, 0, 1, 640, 360, 2, 600, 5338765, 1042.998312  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 1500, 5338765, 1072.017651  
 xuemei_640x360.yuv, 0, 1, 640, 360, 3, 600, 5338765, 1063.888818  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 1500, 5338765, 1069.888279  
 xuemei_640x360.yuv, 0, 1, 640, 360, 4, 600, 5338765, 1057.181091  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 1500, 5360965, 1059.525999  
 xuemei_640x360.yuv, 1, 4, 640, 360, 1, 600, 5360965, 1094.892134  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 1500, 6782773, 1715.349505  
 xuemei_640x360.yuv, 1, 4, 640, 360, 2, 600, 6782773, 1703.612870  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 1500, 7137144, 2000.235561  
 xuemei_640x360.yuv, 1, 4, 640, 360, 3, 600, 7137144, 2001.804673  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 1500, 7491515, 1997.498536  
 xuemei_640x360.yuv, 1, 4, 640, 360, 4, 600, 7491515, 2030.400235  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 1500, 5338765, 1138.270787  
 xuemei_640x360.yuv, 2, 4, 640, 360, 1, 600, 5338765, 1121.749795  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 1500, 5338765, 1062.196563  
 xuemei_640x360.yuv, 2, 4, 640, 360, 2, 600, 5338765, 1065.306380  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 1500, 5338765, 1059.890737  
 xuemei_640x360.yuv, 2, 4, 640, 360, 3, 600, 5338765, 1051.030315  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 1500, 5338765, 1056.853862  
 xuemei_640x360.yuv, 2, 4, 640, 360, 4, 600, 5338765, 1052.504898  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 1500, 5590365, 1013.570408  
 xuemei_640x360.yuv, 3, 0, 640, 360, 1, 600, 5590365, 1016.283733  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 1500, 7067752, 1152.313995  
 xuemei_640x360.yuv, 3, 0, 640, 360, 2, 600, 7389307, 1166.545483  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 1500, 7422198, 1595.728157  
 xuemei_640x360.yuv, 3, 0, 640, 360, 3, 600, 7637880, 1672.580096  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 1500, 7776644, 1922.910895  
 xuemei_640x360.yuv, 3, 0, 640, 360, 4, 600, 7994408, 1914.857856  
