TestYUV, SliceMode, SlcNum, PicW, PicH, ThrdNum, SliceSize, AllocSize, FPS
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 1500, 18671553, 398.709480  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 1, 600, 18671553, 414.443396  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 1500, 18671553, 432.989066  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 2, 600, 18671553, 430.989494  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 1500, 18671553, 425.229704  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 3, 600, 18671553, 399.585399  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 1500, 18671553, 395.662580  
 Zhuling_1280x720.yuv, 0, 1, 1280, 720, 4, 600, 18671553, 405.867196  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 1500, 18693753, 405.104037  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 1, 600, 18693753, 415.969485  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 1500, 24232041, 622.951347  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 2, 600, 24232041, 606.266204  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 1500, 25615532, 688.805441  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 3, 600, 25615532, 582.812404  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 1500, 26999023, 791.171592  
 Zhuling_1280x720.yuv, 1, 4, 1280, 720, 4, 600, 26999023, 768.263062  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 1500, 18678953, 406.392815  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 1, 600, 18678953, 403.402940  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 1500, 24215491, 597.411352  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 2, 600, 24215491, 590.533116  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 1500, 24215491, 585.787528  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 3, 600, 24215491, 594.427245  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 1500, 24215491, 590.543326  
 Zhuling_1280x720.yuv, 2, 4, 1280, 720, 4, 600, 24215491, 594.703920  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 1500, 18923153, 436.713940  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 1, 600, 18923153, 419.788045  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 1500, 24575868, 548.806670  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 2, 600, 24575868, 578.121446  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 1500, 25959434, 639.425829  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 3, 600, 27992968, 663.994628  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 1500, 27343000, 687.670227  
 Zhuling_1280x720.yuv, 3, 0, 1280, 720, 4, 600, 30941026, 675.767720  
